step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
136,-14.4631,20.2636,0.0674498,0.0851378,0.67357,0.634029
137,-14.196,20.46,0.0673064,0.0848348,0.671647,0.632265
138,-13.9732,20.5735,0.0671455,0.0845381,0.669456,0.63006
139,-13.7819,20.7222,0.0671632,0.0842356,0.667604,0.628135
140,-13.5592,20.826,0.0672015,0.0839606,0.665516,0.625929
141,-13.2983,20.9727,0.0670491,0.0836645,0.663332,0.624055
142,-13.0442,21.0814,0.0668307,0.0833729,0.661045,0.622078
143,-12.7653,21.2458,0.0666347,0.0831846,0.658746,0.620905
144,-12.5278,21.3559,0.066441,0.0830301,0.656471,0.619799
145,-12.2419,21.5025,0.0664838,0.0832142,0.654244,0.619834
146,-11.965,21.5785,0.0668427,0.0832811,0.65227,0.618633
147,-11.7967,21.6741,0.066665,0.0834422,0.65007,0.617851
148,-11.5382,21.7495,0.0665338,0.0835868,0.647892,0.616608
149,-11.269,21.7984,0.0665164,0.0835703,0.645735,0.615594
150,-11.0261,21.8634,0.0664573,0.0835607,0.643599,0.614378
151,-10.8197,21.8775,0.0662454,0.0833446,0.64157,0.613129
152,-10.5519,21.915,0.0660655,0.0830967,0.639471,0.611283
153,-10.2706,21.9644,0.0659995,0.0828625,0.637409,0.609768
154,-9.9993,21.9713,0.0660386,0.0825948,0.635449,0.607916
155,-9.75308,22.0023,0.0660185,0.0823296,0.633445,0.606306
156,-9.48429,22.0019,0.0660862,0.0820939,0.631578,0.604407
157,-9.27799,22.0383,0.0659095,0.0818363,0.62958,0.602741
158,-9.01279,22.0227,0.0657606,0.0816277,0.627661,0.600855
159,-8.71005,22.0558,0.0658703,0.0813747,0.625952,0.599244
160,-8.44043,22.0317,0.06609,0.0811593,0.624607,0.597403
161,-8.13686,22.049,0.0668317,0.0809102,0.623643,0.595622
162,-7.84039,22.0419,0.0681617,0.0806616,0.623197,0.593844
163,-7.62679,22.034,0.068858,0.08042,0.622019,0.592275
164,-7.35585,21.9778,0.0697607,0.08019,0.621251,0.590499
165,-7.14834,21.9419,0.0701079,0.0799688,0.619865,0.588724
166,-6.86645,21.8902,0.0707741,0.0797811,0.618813,0.58696
167,-6.73575,21.8207,0.070586,0.079692,0.616985,0.585215
168,-6.51194,21.7761,0.0703772,0.0795814,0.615157,0.583614
169,-6.36571,21.7226,0.0706257,0.0794645,0.613611,0.582195
170,-6.1133,21.6539,0.0708218,0.0793829,0.611942,0.580972
171,-5.86502,21.6228,0.0709881,0.0791816,0.610204,0.580313
172,-5.6311,21.5362,0.0712268,0.0790203,0.608438,0.578727
173,-5.32538,21.4977,0.0710863,0.0787936,0.606906,0.57753
174,-5.02789,21.4198,0.0708965,0.0785681,0.605946,0.576221
175,-4.80537,21.3716,0.0706954,0.0784037,0.604836,0.575396
176,-4.57059,21.2841,0.070496,0.078258,0.603687,0.574971
177,-4.25512,21.2975,0.0705973,0.0789241,0.603579,0.57613
178,-3.97295,21.2187,0.0711591,0.0798629,0.604246,0.576686
179,-3.8819,21.0903,0.0709614,0.080536,0.602958,0.577104
