step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
149,14.0149,20.9581,0.176134,0.110046,0.899215,0.510586
150,13.6652,20.9339,0.175569,0.110166,0.896254,0.512964
151,13.4353,21.0366,0.175006,0.110661,0.893345,0.516621
152,13.165,21.0116,0.174505,0.110541,0.890426,0.518028
153,12.9297,21.0976,0.174004,0.110668,0.887544,0.520572
154,12.7681,21.1323,0.173448,0.110741,0.884964,0.522944
155,12.5425,21.2115,0.17291,0.111173,0.882456,0.526572
156,12.2713,21.2162,0.172358,0.111381,0.879787,0.529337
157,12.0397,21.2857,0.171815,0.11201,0.877168,0.533387
158,11.7559,21.1531,0.171289,0.111694,0.874436,0.533628
159,11.5175,21.196,0.170764,0.111473,0.871735,0.534765
160,11.3137,21.1688,0.170237,0.111161,0.869165,0.535401
161,11.0798,21.2024,0.169722,0.110952,0.866624,0.536986
162,10.8642,21.1086,0.169253,0.11062,0.864185,0.536971
163,10.6327,21.1255,0.168815,0.110286,0.861766,0.537761
164,10.3137,21.1699,0.168305,0.110109,0.859151,0.540147
165,10.0708,21.1904,0.167798,0.110176,0.85656,0.543675
166,9.89727,21.1156,0.167361,0.110004,0.854103,0.545825
167,9.66343,21.1235,0.166948,0.110071,0.851653,0.549056
168,9.47477,21.0263,0.166718,0.109861,0.849382,0.550729
169,9.24687,21.0204,0.16655,0.109848,0.8471,0.553392
170,8.88884,20.9352,0.166067,0.109679,0.844662,0.555153
171,8.64383,20.9189,0.165586,0.109733,0.842265,0.55788
172,8.32624,20.73,0.16519,0.109416,0.840249,0.557933
173,8.07169,20.691,0.164849,0.109118,0.838319,0.558679
174,7.84552,20.5687,0.164486,0.108818,0.836297,0.558706
175,7.59469,20.5188,0.164178,0.108511,0.834367,0.559393
176,7.27644,20.4371,0.164291,0.108209,0.833125,0.560212
177,7.01674,20.383,0.164602,0.10797,0.832036,0.561779
178,6.78112,20.27,0.164964,0.107698,0.830853,0.562912
179,6.52459,20.2081,0.165559,0.107535,0.829838,0.564796
180,6.31798,20.0916,0.166004,0.107338,0.828484,0.566284
181,6.06801,20.0225,0.166668,0.107321,0.827297,0.568525
182,5.83583,19.9028,0.167428,0.107283,0.826109,0.570405
183,5.58821,19.8271,0.168451,0.107522,0.825107,0.573036
184,5.48499,19.6789,0.168573,0.1076,0.823135,0.574788
185,5.25636,19.5936,0.168791,0.107992,0.821274,0.577239
186,5.08647,19.4801,0.168766,0.108551,0.819238,0.579754
187,4.86556,19.3911,0.168809,0.1096,0.817299,0.582987
188,4.74641,19.1702,0.168489,0.109891,0.815144,0.584041
189,4.53888,19.0638,0.168183,0.11051,0.813034,0.585659
190,4.38789,18.9066,0.167773,0.111055,0.810903,0.586856
191,4.1878,18.7935,0.167369,0.111988,0.808802,0.588595
192,4.10106,18.5983,0.166995,0.112542,0.806807,0.589331
193,3.91588,18.4744,0.16664,0.113446,0.804775,0.590537
194,3.61877,18.2749,0.166233,0.114007,0.80287,0.590922
195,3.41886,18.1411,0.165847,0.114885,0.801069,0.591717
196,3.18033,17.901,0.165592,0.115164,0.799641,0.591365
197,2.97534,17.7532,0.165422,0.115648,0.79839,0.591322
198,2.84231,17.692,0.165107,0.11737,0.796792,0.593078
199,2.64679,17.5556,0.16485,0.11967,0.795344,0.595277
200,2.49365,17.2815,0.164539,0.120784,0.793774,0.595469
201,2.3037,17.127,0.164284,0.122247,0.792354,0.595975
202,2.17144,16.9152,0.163944,0.123436,0.790725,0.595971
203,1.98908,16.7532,0.163645,0.124954,0.789231,0.596244
204,1.84094,16.3909,0.163317,0.125015,0.787672,0.594913
205,1.66307,16.2025,0.163036,0.12513,0.786254,0.593675
206,1.46964,16.0435,0.162874,0.125514,0.785113,0.592742
207,1.28974,15.859,0.16282,0.126034,0.784157,0.591959
208,1.14038,15.573,0.162761,0.126037,0.783123,0.590668
209,0.964491,15.3752,0.162834,0.126089,0.78228,0.589456
210,0.761436,15.1073,0.163252,0.125907,0.781928,0.588082
211,0.581972,14.9003,0.163931,0.12574,0.781812,0.58675
212,0.540524,14.698,0.163974,0.125613,0.780572,0.585487
213,0.379209,14.4915,0.16414,0.125522,0.779486,0.584289
214,0.232546,14.2512,0.164371,0.125353,0.778444,0.583024
215,0.0731587,14.0403,0.164765,0.125213,0.777567,0.581814
216,0.138608,13.7701,0.164406,0.124955,0.775774,0.580488
