step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
197,2.94414,17.6446,0.281637,0.353101,0.734548,0.816935
198,2.7144,17.4768,0.281322,0.352271,0.736436,0.815066
199,2.71452,17.2315,0.280627,0.351394,0.73672,0.813027
200,2.50029,17.0476,0.279978,0.350524,0.737314,0.811008
201,2.34544,16.8875,0.279315,0.349677,0.737719,0.809275
202,2.13566,16.7136,0.278717,0.34885,0.738437,0.807669
203,1.83388,16.4985,0.278533,0.34801,0.74025,0.806102
204,1.61822,16.3224,0.278601,0.347194,0.742436,0.804673
205,1.49816,16.1461,0.278482,0.346407,0.744054,0.803267
206,1.28917,15.9677,0.278619,0.345658,0.74603,0.802003
207,1.25834,15.7109,0.278237,0.344851,0.746638,0.800115
208,1.06285,15.5124,0.278016,0.344055,0.74755,0.798279
209,0.860288,15.3284,0.278034,0.343291,0.748857,0.796469
210,0.664145,15.1283,0.278316,0.342545,0.750489,0.79472
211,0.621206,14.9601,0.278117,0.341878,0.751116,0.793184
212,0.435914,14.764,0.278114,0.341253,0.752028,0.791742
213,0.407983,14.4955,0.2777,0.340535,0.751864,0.789904
214,0.235702,14.2821,0.277405,0.339829,0.751932,0.788096
215,0.0563604,14.0117,0.277291,0.339067,0.752162,0.786441
216,-0.115133,13.7794,0.277363,0.338302,0.752634,0.784754
217,-0.169144,13.5341,0.277123,0.33753,0.752396,0.783314
218,-0.330776,13.293,0.277026,0.33676,0.752364,0.781825
219,-0.434399,13.0786,0.276851,0.335997,0.752198,0.780114
220,-0.592233,12.8445,0.276831,0.335237,0.75223,0.778394
221,-0.742107,12.5969,0.276957,0.334481,0.752436,0.776642
222,-0.899646,12.366,0.277296,0.333731,0.752845,0.774899
223,-1.01706,12.1681,0.277647,0.33299,0.753119,0.773167
224,-1.17122,11.9365,0.27824,0.332255,0.753585,0.771449
225,-1.30009,11.6897,0.278941,0.33152,0.753949,0.769747
226,-1.45132,11.4534,0.279922,0.33079,0.754493,0.768053
227,-1.39193,11.2287,0.279938,0.330067,0.753795,0.766421
228,-1.52663,10.9998,0.28009,0.329352,0.75322,0.764815
229,-1.51786,10.7636,0.279794,0.328642,0.751918,0.763163
230,-1.63757,10.5227,0.279559,0.327935,0.75069,0.761517
231,-1.70177,10.24,0.279213,0.327229,0.749277,0.76002
232,-1.81471,9.98955,0.278911,0.326531,0.74792,0.758514
233,-1.81405,9.78934,0.278389,0.325833,0.746377,0.756901
234,-1.91789,9.54598,0.277883,0.32514,0.744868,0.755295
235,-2.08603,9.27749,0.27754,0.324452,0.743492,0.753833
236,-2.19366,9.02466,0.27724,0.323772,0.742161,0.752368
237,-2.1765,8.84353,0.27671,0.323099,0.740632,0.750788
238,-2.27385,8.59966,0.276192,0.322429,0.739125,0.749216
239,-2.473,8.30671,0.275913,0.321758,0.737853,0.747731
240,-2.57864,8.05486,0.275685,0.321094,0.736619,0.746248
241,-2.49458,7.92301,0.275127,0.320479,0.735099,0.744707
242,-2.58151,7.68023,0.274573,0.319869,0.733586,0.743177
243,-2.82437,7.40979,0.274293,0.319238,0.732408,0.741662
244,-2.92883,7.168,0.274069,0.318613,0.731256,0.740158
245,-2.90186,6.97434,0.273583,0.318053,0.72977,0.738655
246,-2.98928,6.73096,0.273103,0.317498,0.728293,0.737163
247,-2.94129,6.5457,0.27256,0.317061,0.726898,0.73597
248,-3.01894,6.31671,0.272026,0.316666,0.725509,0.734787
249,-3.20692,6.0305,0.271507,0.316183,0.724057,0.733332
250,-3.29274,5.78893,0.270992,0.315711,0.722613,0.731887
251,-3.38798,5.51501,0.27049,0.31519,0.721202,0.730474
252,-3.47841,5.27568,0.269995,0.314683,0.719798,0.729068
253,-3.51828,5.0309,0.269469,0.31418,0.718403,0.727638
254,-3.59981,4.78815,0.268944,0.313685,0.71702,0.726216
255,-3.71704,4.49672,0.268439,0.313125,0.71564,0.724807
256,-3.80839,4.25496,0.267941,0.312572,0.714263,0.723405
257,-3.9087,4.00859,0.267457,0.312021,0.712878,0.722004
258,-3.99716,3.76263,0.266976,0.311471,0.7115,0.720613
259,-4.09069,3.59823,0.266503,0.311055,0.710146,0.719311
260,-4.18373,3.36335,0.266037,0.31066,0.708793,0.718011
261,-4.32726,3.05244,0.265653,0.310145,0.707575,0.71664
262,-4.42954,2.81001,0.265293,0.309635,0.706341,0.715276
263,-4.51637,2.53043,0.264923,0.309083,0.705033,0.713945
264,-4.61484,2.28346,0.264565,0.308531,0.703721,0.712628
265,-4.70673,2.03781,0.264204,0.307978,0.702598,0.711289
266,-4.81585,1.79549,0.263871,0.307427,0.701445,0.709959
267,-4.95515,1.50099,0.263643,0.306853,0.700469,0.708721
268,-5.07092,1.25215,0.263465,0.306283,0.699448,0.707505
269,-5.14758,1.06039,0.263221,0.305729,0.69822,0.706199
270,-5.25666,0.819728,0.262999,0.305177,0.696975,0.704906
